,Run,LibraryName,LibraryStrategy,LibrarySelection,SampleName,Sample_title,Sample_cell_line,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_cell_description,Sample_platform_id,Sample_instrument_model
98,SRR16195062,GSM5609499,RNA-Seq,cDNA,GSM5609499,Smart-HCT-75,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 075,GPL18573,Illumina NextSeq 500
99,SRR16195061,GSM5609644,OTHER,other,GSM5609644,HUVEC+H9 scONEseq 026,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 026,GPL18573,Illumina NextSeq 500
100,SRR16195060,GSM5609645,OTHER,other,GSM5609645,HUVEC+H9 scONEseq 027,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 027,GPL18573,Illumina NextSeq 500
101,SRR16195059,GSM5609646,OTHER,other,GSM5609646,HUVEC+H9 scONEseq 028,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 028,GPL18573,Illumina NextSeq 500
102,SRR16195057,GSM5609648,OTHER,other,GSM5609648,HUVEC+H9 scONEseq 030,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 030,GPL18573,Illumina NextSeq 500
103,SRR16195058,GSM5609647,OTHER,other,GSM5609647,HUVEC+H9 scONEseq 029,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 029,GPL18573,Illumina NextSeq 500
104,SRR16195056,GSM5609649,OTHER,other,GSM5609649,HUVEC+H9 scONEseq 031,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 031,GPL18573,Illumina NextSeq 500
105,SRR16195054,GSM5609651,OTHER,other,GSM5609651,HUVEC+H9 scONEseq 033,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 033,GPL18573,Illumina NextSeq 500
106,SRR16195055,GSM5609650,OTHER,other,GSM5609650,HUVEC+H9 scONEseq 032,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 032,GPL18573,Illumina NextSeq 500
107,SRR16195053,GSM5609652,OTHER,other,GSM5609652,HUVEC+H9 scONEseq 034,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 034,GPL18573,Illumina NextSeq 500
108,SRR16195051,GSM5609654,OTHER,other,GSM5609654,HUVEC+H9 scONEseq 036,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 036,GPL18573,Illumina NextSeq 500
109,SRR16195052,GSM5609653,OTHER,other,GSM5609653,HUVEC+H9 scONEseq 035,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 035,GPL18573,Illumina NextSeq 500
110,SRR16195050,GSM5609655,OTHER,other,GSM5609655,HUVEC+H9 scONEseq 037,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 037,GPL18573,Illumina NextSeq 500
111,SRR16195049,GSM5609656,OTHER,other,GSM5609656,HUVEC+H9 scONEseq 038,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 038,GPL18573,Illumina NextSeq 500
112,SRR16195048,GSM5609657,OTHER,other,GSM5609657,HUVEC+H9 scONEseq 039,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 039,GPL18573,Illumina NextSeq 500
113,SRR16195047,GSM5609658,OTHER,other,GSM5609658,HUVEC+H9 scONEseq 040,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 040,GPL18573,Illumina NextSeq 500
114,SRR16195046,GSM5609659,OTHER,other,GSM5609659,HUVEC+H9 scONEseq 041,HUVEC+H9 cell line co-culture,other,transcriptomic,OTHER,Normal single cell 041,GPL18573,Illumina NextSeq 500
